DIA;HORA;ox;diox;o3;t
30;15;22.473;13.857;8.658;20.331
30;16;30.67;21.058;5.735;20.246
30;17;28.352;19.45;11.725;20.948
30;18;37.528;20.79;6.33;21.187
30;19;62.441;22.159;2.31;20.984
30;20;42.674;19.512;7.111;22.3
30;21;17.61;9.422;20.569;24.261
30;22;16.617;8.744;25.617;25.366
30;23;16.231;8.627;30.239;26.607
31;0;17.506;9.555;29.931;26.03
31;1;18.368;9.922;29.518;25.956
31;2;17.825;9.913;32.366;26.218
31;3;16.582;9.035;34.797;25.161
31;4;16.689;9.221;33.818;24.015
31;5;19.948;12.536;30.953;22.904
31;6;19.905;12.595;31.294;22.568
31;7;19.462;12.258;31.962;22.454
31;8;19.968;12.712;32.758;22.393
31;9;21.13;13.852;32.324;22.343
31;10;20.832;13.631;33.156;22.247
31;11;18.37;11.173;34.265;22.125
31;12;17.736;10.626;34.106;22.029
31;13;17.293;10.222;32.772;21.897
31;14;15.807;8.797;32.173;21.76
